"","group","species","avg_before","avg_after","cumsum","contrib","perc_change","sign","common_name","ScientificName_accepted","species_ID","marine_species_name","monitoring","thermal_affinity"
"36","Fish","sebastes_rosaceus",156.176470588235,0,0.462919053672044,0.123032843787453,Inf,"positive","Rosy Rockfish","Sebastes rosaceus","Rosy Rockfish",NA,"Deep Reef","warm temperate"
"37","Fish","oxylebius_pictus",59,17.2666666666667,0.529484574383017,0.0665655207109732,2.41698841698842,"positive","Painted Greenling","Oxylebius pictus","Painted Greenling",NA,"Deep Reef","cold temperate"
"38","Fish","sebastes_wilsoni",134.671176470588,0,0.594679709908796,0.065195135525779,Inf,"positive",NA,NA,"Sebastes Wilsoni",NA,"Deep Reef",NA
"39","Fish","sebastes_miniatus",39.2941176470588,20.4066666666667,0.638356285081209,0.0436765751724123,0.925552971923824,"positive","Vermilion Rockfish","Sebastes miniatus","Vermilion Rockfish",NA,"Deep Reef","warm temperate"
"40","Fish","zalembius_rosaceus",23.7070588235294,1.2,0.674134059087485,0.0357777740062768,18.7558823529412,"positive","Pink Surfperch","Zalembius rosaceus","Pink Surfperch",NA,"Deep Reef","warm temperate"
"41","Fish","sebastes_carnatus",32.4705882352941,12,0.706345376197389,0.032211317109904,1.70588235294118,"positive","Gopher Rockfish","Sebastes carnatus","Gopher Rockfish",NA,"Deep Reef","warm temperate"
"42","Fish","sebastes_hopkinsi",0.882352941176471,23.5933333333333,0.73785053061521,0.0315051544178208,-0.962601598989412,"negative","Squarespot Rockfish","Sebastes hopkinsi","Squarespot Rockfish",NA,"Deep Reef",""
"43","Fish","oxyjulis_californica",16.5976470588235,0.2,0.765519247110398,0.0276687164951874,81.9882352941176,"positive","Senorita","Oxyjulis californica","Senorita",NA,"Deep Reef","subtropical"
"44","Fish","rhacochilus_vacca",16.4117647058824,15.6333333333333,0.791874583976787,0.0263553368663895,0.0497930515489777,"positive","Pile Surfperch","Rhacochilus vacca","Pile Surfperch",NA,"Deep Reef","warm temperate"
"45","Inverts and algae","ulvent",0.323209876555556,0.369150766125984,0.275430214471501,0.275430214471501,-0.124450207844753,"negative",NA,NA,"Ulva Spp; Kornmannia Spp; Monostroma Spp","ulva spp; kornmannia spp; monostroma spp","Rocky Intertidal","cosmopolitan"
"46","Inverts and algae","mytcal",0.193619523004223,0.225588543672285,0.398656169728461,0.12322595525696,-0.141713848352619,"negative",NA,NA,"Mytilus Californianus","mytilus californianus","Rocky Intertidal","cosmopolitan"
"47","Inverts and algae","physpp",0.127849085479482,0.0797116929234485,0.493795698875504,0.0951395291470436,0.603893742443308,"positive",NA,NA,"Phyllospadix Spp","phyllospadix spp","Rocky Intertidal","cosmopolitan"
"48","Inverts and algae","endmur",0.0899767036033902,0.113538336266172,0.571613799854803,0.0778181009792988,-0.207521383857037,"negative",NA,NA,"Endocladia Muricata","endocladia muricata","Rocky Intertidal","cosmopolitan"
"49","Inverts and algae","chtbal",0.190766764856514,0.161797672666365,0.649053773389312,0.0774399735345094,0.179045172360943,"positive",NA,NA,"Chthamalus Dalli; Fissus; Balanus Glandula","chthamalus dalli; fissus; balanus glandula","Rocky Intertidal","cosmopolitan"
"50","Inverts and algae","silcom",0.0897334513057857,0.103992404040561,0.717946945697569,0.0688931723082569,-0.137115329396689,"negative",NA,NA,"Silvetia Compressa","silvetia compressa","Rocky Intertidal","warm temperate"
"51","Inverts and algae","masspp",0.0728854062475629,0.0776380253057169,0.779512126764428,0.0615651810668589,-0.0612150945292526,"negative",NA,NA,"Mastocarpus Spp","mastocarpus spp","Rocky Intertidal","cold temperate"
