"Row","Region","MPA name","Target status","Effect size","Standard error","P-value","95% lower","95% upper","Tau-2","Q","Ecosystem (latest year)"
21,"Central","Natural Bridges SMR","Targeted",-0.132,0.806,0.87,-1.711,1.447,1.085,6.054,"Surf zone (2020), Kelp forest (2011)"
21,"Central","Natural Bridges SMR","Non-targeted",0.488,0.042,0,0.406,0.57,0,0.042,"Surf zone (2020), Kelp forest (2011)"
22,"Central","Point Lobos SMR","Targeted",-0.041,0.529,0.939,-1.078,0.996,0.955,69.556,"Surf zone (2020), Kelp forest (2020), Shallow reef (2020), Deep reef (2019)"
22,"Central","Point Lobos SMR","Non-targeted",-0.439,0.898,0.625,-2.199,1.321,2.305,40.281,"Surf zone (2020), Kelp forest (2020), Deep reef (2019)"
23,"Central","Asilomar SMR","Targeted",0.041,0.266,0.878,-0.481,0.562,0,0.483,"Surf zone (2020), Kelp forest (2011), Deep reef (2008)"
23,"Central","Asilomar SMR","Non-targeted",0.275,0.29,0.342,-0.293,0.843,0.223,19.348,"Surf zone (2019), Kelp forest (2011), Deep reef (2008)"
24,"Central","Cambria SMCA","Targeted",0.107,0.307,0.728,-0.494,0.708,0,0,"Kelp forest (2008)"
24,"Central","Cambria SMCA","Non-targeted",0.358,0.218,0.101,-0.07,0.786,0,0,"Kelp forest (2008)"
25,"Central","Año Nuevo SMR","Targeted",0.154,0.124,0.214,-0.089,0.397,0,1.741,"Surf zone (2020), Shallow reef (2020), Deep reef (2019)"
25,"Central","Año Nuevo SMR","Non-targeted",0.497,0.051,0,0.397,0.597,0,0,"Surf zone (2020), Deep reef (2019)"
26,"Central","Big Creek SMR","Targeted",0.206,0.839,0.806,-1.438,1.851,1.228,7.349,"Kelp forest (2015), Deep reef (2016)"
26,"Central","Big Creek SMR","Non-targeted",0.298,0.304,0.328,-0.299,0.894,0.025,1.074,"Kelp forest (2015), Deep reef (2016)"
27,"Central","Piedras Blancas SMR","Targeted",0.298,0.46,0.516,-0.603,1.2,0.388,12.28,"Kelp forest (2008), Shallow reef (2020)"
27,"Central","Piedras Blancas SMR","Non-targeted",-0.237,0.106,0.025,-0.443,-0.03,0,0,"Kelp forest (2008)"
28,"Central","Point Sur SMCA","Targeted",0.492,0.609,0.419,-0.701,1.686,0,0,"Deep reef (2008)"
28,"Central","Point Sur SMCA","Non-targeted",-0.173,0.055,0.002,-0.281,-0.066,0,0,"Deep reef (2008)"
29,"Central","Point Buchon SMR","Targeted",0.791,0.454,0.081,-0.099,1.68,0.535,14.303,"Kelp forest (2020), Shallow reef (2020), Deep reef (2019)"
29,"Central","Point Buchon SMR","Non-targeted",0.304,0.408,0.456,-0.496,1.103,0.217,1.993,"Kelp forest (2020), Deep reef (2019)"
30,"Central","Point Sur SMR","Targeted",0.863,0.346,0.013,0.184,1.541,0,0,"Kelp forest (2020)"
30,"Central","Point Sur SMR","Non-targeted",0.429,0.248,0.084,-0.057,0.916,0,0,"Kelp forest (2020)"
31,"Central","Lovers Point - Julia Platt SMR","Targeted",0.887,0.223,0,0.451,1.324,0,0,"Kelp forest (2020)"
31,"Central","Lovers Point - Julia Platt SMR","Non-targeted",0.252,0.096,0.009,0.064,0.44,0,0,"Kelp forest (2020)"
32,"Central","Vandenberg SMR","Targeted",1.203,0.512,0.019,0.2,2.206,0,0,"Kelp forest (2008)"
32,"Central","Vandenberg SMR","Non-targeted",-0.092,0.164,0.573,-0.415,0.23,0,0,"Kelp forest (2008)"
33,"Central","Portuguese Ledge SMCA","Targeted",2.034,0.499,0,1.057,3.011,0,0,"Deep reef (2019)"
33,"Central","Portuguese Ledge SMCA","Non-targeted",0.554,0.083,0,0.391,0.717,0,0,"Deep reef (2019)"
34,"South","Crystal Cove SMCA","Targeted",-1.566,0.565,0.006,-2.672,-0.459,0,0,"Kelp forest (2020)"
34,"South","Crystal Cove SMCA","Non-targeted",-2.631,0.659,0,-3.922,-1.339,0,0,"Kelp forest (2020)"
35,"South","Scorpion SMR","Targeted",-0.442,0.367,0.229,-1.161,0.278,0,0,"Kelp forest (2020)"
35,"South","Scorpion SMR","Non-targeted",-0.386,0.141,0.006,-0.663,-0.109,0,0,"Kelp forest (2020)"
36,"South","Carrington Point SMR","Targeted",-0.438,0.672,0.514,-1.755,0.879,1.278,47.933,"Kelp forest (2008), Shallow reef (2020), Deep reef (2019)"
36,"South","Carrington Point SMR","Non-targeted",-0.17,0.065,0.009,-0.297,-0.043,0,0.009,"Kelp forest (2008), Deep reef (2019)"
37,"South","Blue Cavern Onshore SMCA (No-Take)","Targeted",-0.319,0.247,0.196,-0.802,0.165,0,0,"Kelp forest (2020)"
37,"South","Blue Cavern Onshore SMCA (No-Take)","Non-targeted",-1.814,0.215,0,-2.234,-1.393,0,0,"Kelp forest (2020)"
38,"South","Cat Harbor SMCA","Targeted",-0.138,0.183,0.451,-0.497,0.221,0,0,"Kelp forest (2020)"
38,"South","Cat Harbor SMCA","Non-targeted",0.258,0.139,0.063,-0.014,0.529,0,0,"Kelp forest (2020)"
39,"South","Point Dume SMCA","Targeted",-0.112,0.335,0.738,-0.768,0.544,0,0,"Kelp forest (2020)"
39,"South","Point Dume SMCA","Non-targeted",-1.388,0.313,0,-2,-0.775,0,0,"Kelp forest (2020)"
40,"South","Point Vicente SMCA (No-Take)","Targeted",-0.04,0.88,0.964,-1.765,1.685,0,0,"Kelp forest (2020)"
40,"South","Point Vicente SMCA (No-Take)","Non-targeted",1.615,0.235,0,1.154,2.076,0,0,"Kelp forest (2020)"
41,"South","Begg Rock SMR","Targeted",0.094,0.719,0.896,-1.315,1.504,0,0,"Kelp forest (2013)"
41,"South","Begg Rock SMR","Non-targeted",-0.866,0.848,0.308,-2.528,0.797,0,0,"Kelp forest (2013)"
42,"South","Campus Point SMCA (No-Take)","Targeted",0.382,0.229,0.095,-0.067,0.831,0,1.583,"Surf zone (2020), Kelp forest (2020), Deep reef (2019)"
42,"South","Campus Point SMCA (No-Take)","Non-targeted",0.412,0.046,0,0.322,0.502,0,0.597,"Surf zone (2020), Kelp forest (2020), Deep reef (2019)"
43,"South","Matlahuayl SMR","Targeted",0.512,0.767,0.504,-0.991,2.015,0.94,4.978,"Surf zone (2020), Kelp forest (2020)"
43,"South","Matlahuayl SMR","Non-targeted",-0.102,0.212,0.632,-0.518,0.314,0.031,1.47,"Surf zone (2020), Kelp forest (2020)"
44,"South","Farnsworth Onshore SMCA","Targeted",0.515,0.383,0.179,-0.236,1.267,0,0,"Kelp forest (2019)"
44,"South","Farnsworth Onshore SMCA","Non-targeted",0.159,0.286,0.579,-0.402,0.721,0,0,"Kelp forest (2019)"
45,"South","Santa Barbara Island SMR","Targeted",0.558,0.26,0.032,0.048,1.068,0,0,"Kelp forest (2019)"
45,"South","Santa Barbara Island SMR","Non-targeted",-0.947,0.543,0.081,-2.012,0.117,0,0,"Kelp forest (2019)"
46,"South","Harris Point SMR","Targeted",0.647,0.262,0.013,0.135,1.16,0,0.405,"Kelp forest (2020), Deep reef (2019)"
46,"South","Harris Point SMR","Non-targeted",0.827,0.121,0,0.59,1.065,0,0.466,"Kelp forest (2020), Deep reef (2019)"
47,"South","South La Jolla SMR","Targeted",0.689,0.15,0,0.396,0.982,0,0.105,"Kelp forest (2020), Shallow reef (2020)"
47,"South","South La Jolla SMR","Non-targeted",2.938,1.054,0.005,0.872,5.003,0,0,"Kelp forest (2020)"
48,"South","South Point SMR","Targeted",0.703,0.203,0.001,0.306,1.101,0,0.656,"Kelp forest (2020), Deep reef (2019)"
48,"South","South Point SMR","Non-targeted",0.605,0.334,0.07,-0.049,1.259,0.163,3.649,"Kelp forest (2020), Deep reef (2019)"
49,"South","Anacapa Island SMR","Targeted",0.73,1.077,0.498,-1.38,2.841,2.257,36.451,"Kelp forest (2020), Shallow reef (2020)"
49,"South","Anacapa Island SMR","Non-targeted",0.202,0.16,0.206,-0.112,0.516,0,0,"Kelp forest (2020)"
50,"South","Abalone Cove SMCA","Targeted",0.744,0.7,0.288,-0.628,2.116,0,0,"Kelp forest (2020)"
50,"South","Abalone Cove SMCA","Non-targeted",0.051,0.381,0.894,-0.697,0.798,0,0,"Kelp forest (2020)"
51,"South","Point Conception SMR","Targeted",0.755,0.633,0.233,-0.486,1.996,1.432,37.845,"Surf zone (2020), Kelp forest (2012), Shallow reef (2018), Deep reef (2019)"
51,"South","Point Conception SMR","Non-targeted",-0.249,0.173,0.15,-0.589,0.091,0,0.27,"Surf zone (2020), Kelp forest (2012), Deep reef (2019)"
52,"South","Anacapa Island SMCA","Targeted",0.802,0.525,0.127,-0.227,1.831,0,0,"Kelp forest (2009)"
52,"South","Anacapa Island SMCA","Non-targeted",-0.129,0.204,0.528,-0.528,0.271,0,0,"Kelp forest (2009)"
53,"South","Long Point SMR","Targeted",0.815,0.668,0.222,-0.493,2.124,0,0,"Kelp forest (2020)"
53,"South","Long Point SMR","Non-targeted",-0.539,0.284,0.057,-1.096,0.017,0,0,"Kelp forest (2020)"
54,"South","Gull Island SMR","Targeted",1.087,0.316,0.001,0.468,1.706,0,0.175,"Kelp forest (2020), Deep reef (2019)"
54,"South","Gull Island SMR","Non-targeted",0.483,0.192,0.012,0.107,0.859,0,0.019,"Kelp forest (2020), Deep reef (2019)"
55,"South","Laguna Beach SMR","Targeted",1.147,0.173,0,0.807,1.487,0,0.616,"Surf zone (2020), Shallow reef (2017)"
55,"South","Laguna Beach SMR","Non-targeted",-0.087,0.317,0.785,-0.708,0.535,0,0,"Surf zone (2020)"
56,"South","Naples SMCA","Targeted",1.17,0.409,0.004,0.367,1.972,0,0,"Kelp forest (2020)"
56,"South","Naples SMCA","Non-targeted",1.053,0.506,0.037,0.061,2.045,0,0,"Kelp forest (2020)"
57,"South","Painted Cave SMCA","Targeted",1.322,0.227,0,0.878,1.766,0,0,"Kelp forest (2020)"
57,"South","Painted Cave SMCA","Non-targeted",-0.354,0.178,0.047,-0.704,-0.005,0,0,"Kelp forest (2020)"
58,"South","Point Dume SMR","Targeted",1.555,0.784,0.047,0.018,3.092,0.995,5.175,"Surf zone (2020), Kelp forest (2020)"
58,"South","Point Dume SMR","Non-targeted",0.98,0.299,0.001,0.394,1.566,0,0.324,"Surf zone (2020), Kelp forest (2020)"
59,"South","Swami's SMCA","Targeted",2.024,0.835,0.015,0.387,3.662,1.374,64.785,"Kelp forest (2019), Shallow reef (2020)"
59,"South","Swami's SMCA","Non-targeted",2.199,0.579,0,1.064,3.335,0,0,"Kelp forest (2019)"
