"Scientific name","Target status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Chromis punctipinnis","Nontargeted",NA,"X","X","X"
"Citharichthys sordidus","Targeted",NA,"X","X","X"
"Citharichthys spp","Targeted",NA,"X","X",NA
"Citharichthys stigmaeus","Targeted","X","X","X",NA
"Citharichthys xanthostigma","Targeted",NA,NA,"X",NA
"Clinidae spp","Nontargeted","X",NA,NA,NA
"Clupea pallasii","Targeted","X",NA,NA,NA
"Cottidae spp","Nontargeted",NA,NA,NA,"X"
"Cryptacanthodes giganteus","Nontargeted",NA,"X",NA,NA
"Cymatogaster aggregata","Targeted","X","X",NA,"X"
"Decapterus macarellus","Targeted",NA,"X",NA,NA
"Embiotoca jacksoni","Targeted","X","X",NA,"X"
"Embiotoca lateralis","Targeted","X","X","X","X"
"Embiotocidae spp","Targeted",NA,"X",NA,"X"
"Engraulis mordax","Targeted","X","X","X",NA
"Enophrys bison","Nontargeted",NA,"X","X","X"
"Enophrys taurina","Nontargeted",NA,NA,"X",NA
"Entosphenus tridentatus","Nontargeted",NA,NA,NA,"X"
"Eopsetta jordani","Targeted",NA,NA,"X","X"
"Eptatretus stoutii","Targeted",NA,NA,NA,"X"
"Ernogrammus walkeri","Nontargeted",NA,"X",NA,NA
"Fundulus parvipinnis","Nontargeted","X",NA,NA,NA
"Gadidae spp","Nontargeted",NA,NA,NA,"X"
"Galeorhinus galeus","Targeted",NA,"X","X",NA
"Genyonemus lineatus","Targeted","X",NA,"X",NA
"Gibbonsia metzi","Nontargeted","X",NA,NA,"X"
"Gibbonsia montereyensis","Nontargeted","X",NA,NA,NA
"Gibbonsia spp","Nontargeted","X",NA,NA,NA
"Girella nigricans","Targeted","X","X","X","X"
"Glyptocephalus zachirus","Targeted",NA,NA,NA,"X"
"Gobiesox maeandricus","Nontargeted",NA,"X",NA,NA
"Gobiidae spp","Nontargeted",NA,NA,NA,"X"
"Gymnothorax mordax","Nontargeted",NA,"X",NA,"X"
"Halichoeres semicinctus","Nontargeted",NA,"X","X","X"
"Hemilepidotus hemilepidotus","Nontargeted",NA,"X",NA,NA
"Hemilepidotus spinosus","Nontargeted",NA,"X",NA,NA
"Heterodontus francisci","Nontargeted",NA,"X",NA,"X"
"Heterostichus rostratus","Nontargeted","X","X",NA,NA
"Hexagrammidae spp","Targeted",NA,NA,NA,"X"
"Hexagrammos decagrammus","Targeted",NA,"X","X","X"
"Hexagrammos lagocephalus","Targeted",NA,"X","X","X"
"Hexagrammos spp","Targeted",NA,"X",NA,NA
"Hexanchus griseus","Targeted",NA,"X",NA,"X"
"Hippoglossina stomata","Targeted",NA,NA,"X",NA
"Hippoglossus stenolepis","Targeted",NA,NA,"X","X"
"Hydrolagus colliei","Nontargeted",NA,NA,NA,"X"
"Hyperprosopon anale","Targeted","X","X",NA,NA
"Hyperprosopon argenteum","Targeted","X","X",NA,NA
"Hyperprosopon ellipticum","Targeted","X","X",NA,NA
"Hypomesus pretiosus","Targeted","X",NA,NA,NA
"Hypsurus caryi","Targeted","X","X",NA,"X"
"Hypsypops rubicundus","Nontargeted",NA,"X","X","X"
"Kyphosus azureus","Targeted","X","X",NA,NA
"Leiocottus hirundo","Nontargeted",NA,"X",NA,NA
"Lepidopsetta bilineata","Targeted",NA,NA,"X","X"
"Leptocottus armatus","Nontargeted","X","X",NA,"X"
"Lethops connectens","Nontargeted",NA,"X",NA,NA
"Lycodes pacificus","Targeted",NA,NA,NA,"X"
"Lyopsetta exilis","Targeted",NA,NA,NA,"X"
"Lythrypnus dalli","Nontargeted",NA,NA,NA,"X"
"Macrouridae spp","Nontargeted",NA,NA,NA,"X"
"Medialuna californiensis","Targeted","X","X","X","X"
"Menticirrhus undulatus","Targeted","X",NA,NA,NA
"Merluccius productus","Targeted",NA,NA,NA,"X"
"Micrometrus aurora","Nontargeted","X",NA,NA,NA
"Micrometrus minimus","Nontargeted","X","X",NA,NA
"Microstomus pacificus","Targeted",NA,NA,NA,"X"
"Mola mola","Nontargeted",NA,"X",NA,"X"
"Morone saxatilis","Targeted","X",NA,NA,NA
"Mugil cephalus","Targeted","X",NA,NA,NA
"Myliobatis californica","Targeted","X","X","X","X"
"Neoclinus blanchardi","Nontargeted",NA,"X","X",NA
"Notorynchus cepedianus","Targeted",NA,"X",NA,NA
"Oncorhynchus tshawytscha","Targeted",NA,NA,"X",NA
"Ophiodon elongatus","Targeted",NA,"X","X","X"
"Osmeridae spp","Targeted",NA,NA,NA,"X"
"Oxyjulis californica","Nontargeted",NA,"X","X","X"
"Oxylebius pictus","Nontargeted",NA,"X","X","X"
"Paralabrax clathratus","Targeted","X","X","X","X"
"Paralabrax maculatofasciatus","Targeted",NA,"X",NA,NA
"Paralabrax nebulifer","Targeted",NA,"X","X",NA
"Paralichthyidae spp","Targeted","X",NA,NA,"X"
"Paralichthys californicus","Targeted","X","X","X","X"
"Parophrys vetulus","Targeted",NA,NA,NA,"X"
"Pegusa lascaris","Targeted",NA,NA,NA,"X"
"Phanerodon atripes","Nontargeted",NA,"X","X","X"
"Phanerodon furcatus","Targeted","X","X",NA,"X"
"Phanerodon vacca","Targeted","X","X","X","X"
"Pholidae spp","Nontargeted","X","X",NA,NA
"Platichthys stellatus","Targeted","X",NA,NA,"X"
"Platyrhinoidis triseriata","Nontargeted","X","X",NA,NA
"Pleuronectidae spp","Targeted",NA,"X",NA,"X"
"Pleuronichthys coenosus","Nontargeted",NA,"X",NA,NA
"Pleuronichthys ritteri","Nontargeted",NA,NA,NA,"X"
"Porichthys notatus","Nontargeted",NA,"X",NA,"X"
"Prionace glauca","Targeted",NA,"X",NA,NA
"Prognathodes falcifer","Nontargeted",NA,"X",NA,NA
"Psettichthys melanostictus","Targeted","X",NA,"X",NA
"Pseudobatos productus","Targeted","X","X",NA,NA
"Rajidae spp","Targeted",NA,NA,NA,"X"
"Rathbunella alleni","Nontargeted",NA,"X",NA,NA
"Rathbunella hypoplecta","Nontargeted",NA,"X",NA,"X"
"Rhacochilus toxotes","Targeted",NA,"X","X","X"
"Rhamphocottus richardsonii","Nontargeted",NA,"X",NA,NA
"Rhinogobiops nicholsii","Nontargeted",NA,"X",NA,"X"
"Roncador stearnsii","Targeted","X",NA,NA,NA
"Ronquilus jordani","Nontargeted",NA,"X",NA,NA
"Sarda chiliensis","Targeted",NA,"X","X",NA
"Sardinops sagax","Targeted","X","X","X",NA
"Sciaenidae spp","Targeted",NA,NA,NA,"X"
"Scomber japonicus","Targeted",NA,"X","X",NA
"Scombridae spp","Targeted",NA,NA,"X",NA
"Scorpaena guttata","Targeted",NA,"X","X","X"
"Scorpaenichthys marmoratus","Targeted","X","X","X","X"
"Scorpaenidae spp","Targeted",NA,NA,NA,"X"
"Scorpaenodes xyris","Nontargeted",NA,"X",NA,NA
"Sebastes atrovirens","Targeted",NA,"X","X","X"
"Sebastes auriculatus","Targeted",NA,"X","X","X"
"Sebastes aurora","Targeted",NA,NA,NA,"X"
"Sebastes babcocki","Nontargeted",NA,NA,NA,"X"
"Sebastes borealis","Targeted",NA,NA,NA,"X"
"Sebastes carnatus","Targeted",NA,"X","X","X"
"Sebastes caurinus","Targeted",NA,"X","X","X"
"Sebastes chlorostictus","Targeted",NA,NA,NA,"X"
"Sebastes chrysomelas","Targeted",NA,"X","X","X"
"Sebastes constellatus","Targeted",NA,NA,"X","X"
"Sebastes crameri","Targeted",NA,NA,NA,"X"
"Sebastes dallii","Targeted",NA,"X","X","X"
"Sebastes diaconus","Targeted",NA,NA,"X",NA
"Sebastes diploproa","Targeted",NA,"X",NA,"X"
"Sebastes elongatus","Targeted",NA,NA,NA,"X"
"Sebastes ensifer","Targeted",NA,NA,NA,"X"
"Sebastes entomelas","Targeted",NA,"X","X","X"
"Sebastes flavidus","Targeted",NA,NA,"X","X"
"Sebastes goodei","Targeted",NA,NA,NA,"X"
"Sebastes helvomaculatus","Nontargeted",NA,NA,NA,"X"
"Sebastes hopkinsi","Targeted",NA,"X","X","X"
"Sebastes jordani","Targeted",NA,NA,NA,"X"
"Sebastes lentiginosus","Targeted",NA,NA,"X","X"
"Sebastes levis","Targeted",NA,NA,NA,"X"
"Sebastes maliger","Targeted",NA,"X","X","X"
"Sebastes melanops","Targeted",NA,"X","X","X"
"Sebastes melanostomus","Targeted",NA,NA,NA,"X"
"Sebastes miniatus","Targeted",NA,"X","X","X"
"Sebastes mystinus","Targeted",NA,"X","X","X"
"Sebastes nebulosus","Targeted",NA,"X","X","X"
"Sebastes nigrocinctus","Targeted",NA,NA,"X","X"
"Sebastes ovalis","Targeted",NA,NA,NA,"X"
"Sebastes paucispinis","Targeted","X","X","X","X"
"Sebastes pinniger","Targeted",NA,"X","X","X"
"Sebastes rastrelliger","Targeted","X","X","X",NA
"Sebastes rosaceus","Targeted",NA,"X","X","X"
"Sebastes rosenblatti","Targeted",NA,NA,NA,"X"
"Sebastes ruberrimus","Targeted",NA,NA,"X","X"
"Sebastes rubrivinctus","Targeted",NA,"X",NA,"X"
"Sebastes rufus","Targeted",NA,NA,NA,"X"
"Sebastes saxicola","Targeted",NA,"X",NA,"X"
"Sebastes semicinctus","Targeted",NA,"X",NA,"X"
"Sebastes serranoides","Targeted",NA,NA,"X","X"
"Sebastes serriceps","Targeted",NA,"X","X","X"
"Sebastes simulator","Targeted",NA,NA,NA,"X"
"Sebastes spp","Targeted","X","X","X","X"
"Sebastes umbrosus","Targeted",NA,"X","X","X"
"Sebastes wilsoni","Nontargeted",NA,NA,NA,"X"
"Sebastidae spp","Targeted",NA,NA,NA,"X"
"Sebastolobus alascanus","Targeted",NA,NA,NA,"X"
"Semicossyphus pulcher","Targeted",NA,"X","X","X"
"Seriola lalandi","Targeted",NA,"X","X","X"
"Seriphus politus","Targeted","X",NA,NA,NA
"Sphyraena argentea","Targeted",NA,"X","X",NA
"Squalus acanthias","Targeted",NA,"X","X",NA
"Squatina californica","Targeted",NA,"X",NA,"X"
"Stellerina xyosterna","Nontargeted","X",NA,NA,NA
"Stereolepis gigas","Nontargeted",NA,"X","X","X"
"Stichaeidae spp","Nontargeted",NA,"X",NA,NA
"Syngnathus californiensis","Nontargeted","X",NA,NA,NA
"Syngnathus leptorhynchus","Nontargeted","X",NA,NA,NA
"Syngnathus spp","Nontargeted","X","X",NA,NA
"Synodus lucioceps","Nontargeted",NA,"X","X","X"
"Tetronarce californica","Nontargeted",NA,"X",NA,"X"
"Thaleichthys pacificus","Targeted",NA,"X",NA,NA
"Trachurus symmetricus","Targeted",NA,"X","X",NA
"Triakis semifasciata","Targeted","X","X",NA,NA
"Ulvicola sanctaerosae","Nontargeted",NA,"X",NA,NA
"Umbrina roncador","Targeted","X",NA,"X",NA
"Urobatis halleri","Targeted","X","X",NA,NA
"Xystreurys liolepis","Targeted",NA,NA,"X",NA
"Zalembius rosaceus","Nontargeted",NA,"X",NA,"X"
"Zaniolepis frenata","Nontargeted",NA,NA,NA,"X"
"Zaniolepis latipinnis","Nontargeted",NA,NA,NA,"X"
"Zaniolepis spp","Nontargeted",NA,NA,NA,"X"
"Zapteryx exasperata","Targeted",NA,"X",NA,NA
"Zoarcidae spp","Nontargeted","X",NA,NA,"X"
