"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Nontargeted","","X","",""
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Targeted","X","","",""
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Nontargeted","","X","",""
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Targeted","X","","",""
"Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Nontargeted","","X","",""
"Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Targeted","X","","","X"
"Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Nontargeted","","X","","X"
"Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Targeted","X","","",""
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Nontargeted","","X","","X"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Targeted","","","X",""
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Nontargeted","","X","","X"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Targeted","X","","X",""
"Actinopterygii","Perciformes","Embiotocidae","Zalembius","rosaceus","Nontargeted","","X","","X"
"Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Nontargeted","","X","",""
"Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Targeted","","","X",""
"Actinopterygii","Perciformes","Haemulidae","Haemulon","californiensis","Targeted","","X","",""
"Actinopterygii","Perciformes","Kyphosidae","Girella","nigricans","Nontargeted","","X","X","X"
"Actinopterygii","Perciformes","Kyphosidae","Girella","nigricans","Targeted","X","","",""
"Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Nontargeted","","X","X","X"
"Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Targeted","X","","",""
"Actinopterygii","Perciformes","Labridae","Halichoeres","semicinctus","Nontargeted","","X","X","X"
"Actinopterygii","Perciformes","Labridae","Oxyjulis","californica","Nontargeted","","X","X","X"
"Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","Targeted","","X","",""
"Actinopterygii","Perciformes","Pholidae","Apodichthys","flavidus","Nontargeted","","X","",""
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Nontargeted","X","","",""
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Targeted","","X","X",""
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","jordani","Targeted","","","X","X"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","pacificus","Targeted","","","","X"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus","Nontargeted","","","X",""
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus","Targeted","X","","",""
"Actinopterygii","Scorpaeniformes","Cottidae","Enophrys","bison","Nontargeted","","X","X",""
"Actinopterygii","Scorpaeniformes","Cottidae","Leptocottus","armatus","Nontargeted","","X","",""
"Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Targeted","","X","X",""
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Targeted","","X","X","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","elongatus","Targeted","","","","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","flavidus","Targeted","","","X","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","jordani","Targeted","","","","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rosaceus","Targeted","","X","X","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","ruberrimus","Nontargeted","","","X",""
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","ruberrimus","Targeted","","","","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rubrivinctus","Nontargeted","","","","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rubrivinctus","Targeted","","X","",""
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","semicinctus","Nontargeted","","","","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","semicinctus","Targeted","","X","",""
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","umbrosus","Nontargeted","","","","X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","umbrosus","Targeted","","X","X",""
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","californiensis","Nontargeted","X","","",""
"Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Nontargeted","","X","","X"
"Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Targeted","X","","X",""
"Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Nontargeted","","","","X"
"Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Targeted","","X","",""
"Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Nontargeted","","X","",""
"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Platyrhinoidis","triseriata","Nontargeted","X","","",""
"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos","productus","Targeted","X","","",""
"Elasmobranchii","Squatiniformes","Squatinidae","Squatina","californica","Targeted","","X","","X"
